Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
1,3,1,30,39,2,1,1,58,128,0,0,600,1098
1,6,2,60,27,1,1,1,35,208,6000,3300,1500,1559
1,14,6,48,46,2,1,1,60,100,99999999,99999999,800,1651
2,0,0,48,23,2,1,2,45,26,99999999,99999999,1350,1562
1,4,5,60,26,1,1,1,35,104,2500,2000,1048,1048
1,2,1,48,37,4,1,1,50,148,0,0,700,1805
2,5,1,48,31,1,1,1,44,90,0,0,1300,1700
1,3,5,60,26,1,2,1,35,73,0,0,650,1200
1,32,1,60,47,4,2,1,47,120,3000,0,1400,1995
1,4,2,60,33,2,1,1,75,123,6000,1000,600,1030
1,0,2,12,22,2,1,4,75,100,50000,8000,900,2327
2,0,1,60,19,1,1,1,35,0,0,0,1200,1503
1,27,2,60,56,2,1,1,45,122,3000,0,950,1386
1,2,5,60,35,2,1,1,75,104,0,0,1200,1677
1,18,3,60,42,2,1,1,90,162,2500,400,1550,1615
1,15,6,36,39,4,1,1,45,116,4000,0,600,1196
2,1,5,48,22,1,1,2,35,52,0,0,1200,1442
1,14,1,36,47,2,1,1,73,125,6500,0,600,825
2,7,1,36,25,2,1,1,69,93,0,0,250,400
1,1,2,48,30,2,1,3,60,30,4000,0,900,1700
2,1,1,48,33,5,1,1,60,250,0,0,1300,1573
1,9,1,60,34,2,1,1,103,128,0,0,500,820
1,1,2,48,18,1,1,2,45,111,7000,0,1100,1299
1,14,2,60,54,2,1,1,60,90,5000,0,800,1517
1,35,6,60,54,2,1,1,75,156,0,0,950,1164
1,5,2,48,40,2,1,3,75,145,6000,0,825,1617
1,18,2,60,47,4,1,1,35,240,6500,0,1795,1795
2,4,5,42,27,1,1,1,35,70,0,0,600,926
1,0,2,60,52,2,1,2,45,0,10000,0,750,1244
1,17,1,60,52,2,1,1,65,200,0,0,1400,1407
2,5,2,36,35,4,1,3,45,99999999,2000,0,750,975
1,15,1,24,42,2,2,1,41,64,0,0,200,400
1,18,2,36,41,2,1,1,45,104,12000,800,900,1607
2,11,2,48,30,2,1,1,75,67,3000,2040,1000,1093
1,0,6,48,23,1,1,1,35,60,0,0,1000,1294
2,2,2,60,32,2,1,2,60,75,5500,1500,1400,1732
1,2,2,48,57,2,1,1,45,184,4000,0,1000,1500
1,33,1,24,68,2,1,3,65,200,5000,2000,600,1350
1,13,2,60,46,2,2,1,90,115,2500,350,1200,1222
1,4,5,60,32,1,1,1,35,150,0,0,700,2061
1,20,2,54,59,2,1,3,60,87,3500,0,500,984
1,5,1,36,32,2,1,1,61,159,0,0,800,890
1,18,1,60,52,2,1,1,58,128,0,0,800,1235
1,6,2,48,37,2,1,3,45,189,15750,3000,2300,2936
1,3,2,36,26,2,1,1,35,136,6000,4500,900,1421
2,0,6,60,34,2,2,1,60,0,0,0,1700,2329
2,1,6,60,21,1,1,2,45,0,0,0,1100,1480
2,1,5,48,25,1,1,2,35,50,0,0,1000,1041
1,40,2,24,63,2,1,1,45,250,55000,0,1000,1751
1,45,2,12,60,2,1,3,35,52,19000,0,550,1240
1,1,1,60,24,2,1,1,77,165,0,0,1500,1736
1,2,1,48,31,2,1,1,67,67,0,0,970,1273
1,12,2,60,27,2,1,1,60,160,2500,270,1400,1461
1,2,5,48,25,1,2,1,35,233,0,0,1000,1090
1,7,2,60,28,2,1,1,45,88,30000,0,2500,3415
1,8,5,60,31,1,1,3,35,107,0,0,1250,1499
1,16,2,36,40,2,1,1,60,160,4000,0,1300,2305
1,20,1,60,41,1,1,3,50,148,4000,0,835,1356
1,10,2,36,34,2,1,1,90,159,3000,250,300,500
1,15,2,60,30,2,1,1,60,140,4000,0,1500,1505
1,8,2,60,29,3,1,1,35,79,4000,0,850,950
1,10,2,60,41,2,1,4,35,57,5000,0,1300,1863
1,8,2,24,47,1,2,1,35,320,50000,2000,300,2300
2,7,5,60,33,1,1,2,35,70,0,0,1300,1438
2,0,1,60,60,2,1,4,55,100,8000,0,2500,2500
2,1,6,48,23,1,1,2,35,147,0,0,1000,1843
1,4,6,60,25,2,1,1,35,146,0,0,800,1400
1,2,5,36,20,1,1,3,45,0,0,0,1000,1310
2,1,3,60,28,2,1,2,60,174,6000,720,1650,1930
2,7,6,36,38,2,2,3,35,59,0,0,1000,2246
1,14,5,60,31,2,1,1,35,100,0,0,1500,1500
1,0,2,42,65,2,1,4,45,77,4000,2000,750,1194
1,10,2,60,34,2,1,1,75,110,2500,300,1150,1367
2,10,1,24,52,2,1,3,45,0,2000,0,400,1242
1,7,2,60,44,2,1,1,45,112,3500,0,1450,1625
1,14,3,12,49,2,1,1,90,140,3000,500,400,1432
2,1,2,60,61,2,1,4,45,30,6000,0,1000,1055
1,5,5,48,28,2,1,1,45,120,0,0,1100,1537
1,14,6,60,30,2,1,1,45,130,0,0,1500,2414
1,6,5,60,38,1,1,1,35,210,0,0,1200,1823
1,14,3,24,51,2,1,2,75,198,1000,0,450,650
1,11,1,12,33,2,1,1,78,180,0,0,300,1479
1,2,3,60,25,2,1,1,45,60,3000,0,1150,1163
1,2,2,24,47,2,2,3,35,95,7000,0,800,2333
1,9,1,48,56,2,1,3,140,350,0,0,1400,1571
1,8,2,60,41,2,1,3,60,173,8000,0,1200,1570
2,1,1,48,36,2,1,3,88,125,0,0,1500,1878
1,1,5,36,23,1,1,1,35,55,5000,0,775,925
2,2,3,60,28,2,1,1,35,165,3000,0,500,1650
1,5,5,24,25,1,1,2,35,111,0,0,750,1125
1,4,2,60,35,2,1,1,35,85,5500,900,1500,1810
1,1,5,48,23,1,1,2,35,103,0,0,820,1323
2,2,5,36,26,1,1,3,35,66,0,0,750,865
2,0,6,60,47,3,2,3,45,0,0,0,1500,1600
1,20,2,36,51,2,1,1,45,90,3500,0,675,775
1,7,2,60,55,2,1,1,45,124,5000,0,800,982
2,0,5,36,29,4,1,3,35,0,0,0,650,975
1,1,3,24,31,2,1,1,60,140,2000,500,1100,1600
2,11,1,48,40,2,1,1,59,140,0,0,1000,1930
1,9,3,48,46,2,1,1,45,100,37000,0,800,904
2,2,5,60,35,2,1,2,45,85,0,0,1000,1542
2,2,5,60,20,1,1,1,35,56,3500,0,1300,1637
1,0,6,36,31,2,1,1,75,144,0,0,450,500
2,10,5,60,31,2,1,1,60,119,0,0,1600,1750
2,1,5,60,33,2,2,3,45,0,0,0,1000,1471
1,25,2,36,50,2,1,3,90,210,75000,0,900,1125
1,5,1,60,37,1,1,1,48,130,0,0,600,1062
2,7,6,60,35,2,2,1,45,120,0,0,1400,1715
1,33,6,36,56,2,1,1,35,80,3500,0,800,981
1,4,5,24,23,1,1,1,35,78,3000,0,500,1346
1,16,2,48,48,2,1,3,35,364,5000,0,900,1077
2,11,6,60,48,2,1,1,75,225,0,0,1300,1550
2,1,3,48,55,2,1,1,60,94,8000,840,900,1050
1,8,1,60,52,2,1,1,89,137,4000,0,800,1086
1,1,1,60,35,2,1,2,83,76,10000,0,1000,1350
1,9,2,60,24,2,1,1,35,125,4000,0,1000,1174
1,2,1,48,24,1,1,1,44,90,0,0,1200,1450
2,0,5,60,38,4,2,3,45,99999999,0,0,700,1738
2,3,3,60,35,2,2,1,45,219,1000,0,1000,1232
2,6,2,36,42,2,1,1,105,151,48000,0,1635,1635
1,1,2,24,27,2,1,1,45,126,3000,3700,200,300
1,10,2,24,47,2,1,1,60,131,6000,0,250,1400
1,0,1,36,34,1,1,2,43,78,0,0,1200,1550
1,9,1,60,31,1,1,1,44,87,0,0,1200,1364
1,9,3,48,27,2,1,1,45,102,5000,360,1300,1537
2,14,3,18,28,2,1,1,45,68,3000,0,200,400
1,12,1,60,38,2,1,1,96,205,3500,0,1400,1742
1,6,2,36,39,2,2,3,45,170,14000,1200,1100,1900
1,9,1,60,39,2,1,1,57,123,0,0,1000,1194
2,0,1,24,29,2,1,3,60,0,0,0,275,275
2,2,2,60,27,1,2,1,35,120,8000,0,975,1140
2,1,6,30,20,1,1,1,35,90,0,0,450,500
2,2,2,60,29,2,2,1,60,80,4000,0,1000,1248
2,0,1,48,28,2,1,2,66,64,0,0,1100,1365
1,20,3,36,46,2,1,1,60,150,2000,0,910,1128
1,4,5,24,40,1,1,1,35,150,5500,600,500,1672
1,15,6,36,38,2,2,3,90,200,6000,0,1550,1982
1,2,2,24,57,2,1,4,45,25,2500,0,400,1034
2,2,3,60,36,2,1,1,75,129,3000,29,900,960
1,14,3,48,42,2,1,1,90,151,8000,6300,1000,1650
1,6,2,60,33,2,1,3,60,0,11000,450,1350,2006
1,25,6,60,50,2,1,1,90,230,0,0,800,860
2,0,2,24,54,2,2,3,45,185,60000,0,1400,1640
1,40,1,18,62,2,1,3,77,166,10000,0,900,2040
1,10,6,60,36,2,1,1,90,172,3000,0,1100,1100
2,19,2,60,37,1,2,1,35,115,10000,6000,1500,1758
1,8,2,36,52,2,1,1,60,65,5000,0,625,725
1,4,2,24,22,1,1,1,35,79,4000,0,1000,1618
2,11,3,60,39,2,1,1,60,120,3000,1000,1450,1499
2,30,2,60,61,2,2,3,35,0,60000,0,950,1015
1,13,2,36,59,2,2,1,35,170,6000,0,700,844
2,0,1,36,36,2,1,2,84,240,0,0,1050,1342
1,1,5,36,21,2,1,1,45,90,2000,0,1200,1350
1,1,2,48,22,1,2,2,35,125,3000,0,600,1087
1,1,2,60,28,2,1,1,45,60,4000,0,1500,2326
1,20,6,6,58,2,2,1,45,130,0,0,500,2058
1,11,2,30,27,2,1,1,45,70,3500,0,1200,1531
1,0,5,36,56,2,2,1,35,102,6000,0,1000,1606
2,15,2,36,49,2,1,3,75,70,3572,1728,1650,2755
1,11,5,24,28,1,1,1,35,82,0,0,400,800
2,0,6,36,49,2,2,3,60,0,0,0,1000,1800
1,5,2,60,22,1,1,1,45,324,10000,0,1100,1159
1,6,2,60,43,2,2,3,45,140,4300,0,2200,2500
1,5,3,24,32,4,1,3,35,143,8000,0,600,1350
1,8,2,60,34,2,1,1,60,177,6300,4000,1370,1375
1,5,5,60,29,1,1,3,35,115,12000,0,1200,1553
1,17,2,60,51,2,1,1,60,98,4000,0,860,1113
1,20,2,30,55,2,1,3,75,0,25000,0,1100,1930
1,13,1,60,31,5,2,3,41,55,0,0,1350,1428
2,3,2,24,23,2,1,1,75,85,5000,0,600,1600
1,5,1,36,33,2,1,2,52,73,0,0,400,750
2,15,2,24,47,2,2,3,45,99999999,5000,0,250,500
1,9,2,36,31,2,1,1,35,161,14000,0,1200,1705
2,0,1,12,23,2,1,2,43,80,0,0,200,1200
1,25,3,12,55,1,1,3,35,92,25000,0,150,400
1,1,2,60,28,2,1,4,45,148,4500,0,1300,1695
1,7,2,60,26,2,1,1,35,132,5000,2400,650,900
1,20,2,60,44,2,1,1,60,115,4000,0,1250,1463
1,32,2,48,46,2,1,1,45,150,8000,0,1000,1093
2,2,1,36,28,2,1,2,42,67,0,0,150,898
1,11,2,60,33,3,1,1,45,90,8000,0,850,1105
2,0,1,48,24,2,1,2,35,0,0,0,600,1452
1,1,2,12,28,2,1,2,45,130,18000,2500,400,2575
2,0,1,48,39,2,1,3,45,0,0,0,700,987
1,19,6,60,34,2,1,1,75,154,4500,0,1600,1778
1,5,5,60,30,2,1,3,45,189,0,0,2000,2312
1,1,2,60,25,2,1,3,60,150,10000,2000,1000,1260
1,18,1,60,54,2,1,1,66,214,0,0,1300,1307
1,0,5,24,36,2,1,4,90,31,0,0,625,725
1,28,1,48,51,2,1,1,112,373,15000,0,1300,2093
2,3,1,18,30,2,1,3,54,90,0,0,300,425
2,2,1,60,30,2,2,3,54,90,2000,0,1500,1500
1,3,2,60,32,2,1,1,35,125,9000,2300,1350,1550
1,15,2,60,33,2,1,1,45,90,3000,0,1200,1323
1,32,2,36,49,2,1,1,75,163,4000,0,400,700
1,5,2,60,31,2,1,1,35,100,5000,0,900,1263
2,0,2,36,35,2,2,1,75,120,4000,0,900,975
2,1,2,60,46,2,1,1,75,50,2000,0,750,1302
1,10,2,60,40,2,1,1,105,125,6500,0,1500,1800
1,7,2,36,31,2,1,1,45,180,9000,1600,700,1400
1,8,2,60,36,2,1,1,75,219,8500,800,1600,1852
1,0,5,12,35,1,1,2,35,96,0,0,350,600
1,5,2,60,27,2,1,1,45,135,5000,1400,1600,1650
2,0,2,36,45,2,2,4,90,155,5000,0,300,1012
1,1,5,24,21,1,1,1,35,60,0,0,250,450
1,9,2,18,52,2,1,1,60,154,5500,0,500,1531
1,15,2,24,53,2,2,3,60,245,30000,0,2400,4400
2,1,5,60,20,1,1,2,35,80,0,0,1300,1525
1,16,2,36,40,2,2,1,90,120,6000,0,900,1150
1,31,2,60,59,2,1,1,60,67,6500,0,1080,1114
1,6,1,60,34,4,1,1,47,120,0,0,1100,1700
2,0,1,60,36,2,1,4,47,121,0,0,900,1423
1,2,2,30,26,2,1,1,60,50,3500,250,600,1292
1,2,2,36,42,2,1,1,75,220,3500,0,1500,2195
2,0,2,60,28,2,1,1,35,78,9500,0,1400,1850
2,0,1,48,37,2,1,2,60,154,0,0,1870,2217
2,0,2,48,29,2,2,4,45,391,6500,420,2000,2397
1,7,1,12,41,4,1,3,35,0,1200,0,200,850
1,0,2,24,30,2,1,2,60,76,4500,0,400,450
1,5,5,24,35,2,2,1,35,189,3000,0,800,1828
1,2,5,36,28,1,1,1,35,140,1000,0,1000,1693
1,7,2,24,39,2,1,1,75,260,10000,0,400,1100
2,20,1,60,49,2,1,1,85,100,0,0,1420,1586
1,16,2,60,42,2,1,1,75,100,2000,0,1050,1490
1,7,2,60,47,2,1,1,75,155,3000,200,675,975
1,37,2,60,56,3,1,1,35,300,10000,0,1300,1750
1,17,2,60,44,2,1,1,45,116,3000,0,800,1654
1,3,2,60,24,2,1,3,60,67,9000,0,1300,2885
2,2,2,36,32,2,1,1,75,101,1500,400,1200,1646
1,8,2,36,52,2,1,1,60,695,18000,0,750,2095
1,11,2,48,41,2,2,3,45,280,4000,1300,1000,1350
2,2,6,48,29,1,1,1,35,105,0,0,1600,2074
1,15,2,48,40,1,1,1,35,95,7000,4000,800,1086
1,24,2,60,45,2,1,1,90,198,3500,0,900,1541
1,0,2,48,31,2,1,1,45,122,4000,0,1000,1541
1,3,2,60,31,1,1,1,35,131,4000,0,1050,1139
2,1,6,60,36,2,1,1,60,101,0,0,850,1098
1,2,5,60,31,2,1,1,35,175,99999999,0,700,1350
1,3,6,48,28,2,1,1,35,125,1500,0,1500,1689
1,18,2,60,49,2,1,1,90,110,5200,600,1350,1557
2,2,2,36,30,1,1,3,35,177,6500,2300,1750,2750
1,3,3,60,54,2,1,1,45,134,2000,0,1100,1286
1,5,2,48,41,2,1,1,90,275,25000,1000,1800,2260
1,15,2,60,48,2,1,1,45,105,3000,0,250,1092
1,20,5,36,50,2,1,3,45,113,20000,0,700,1224
1,4,5,60,25,2,1,3,35,95,25000,0,1650,1900
1,16,5,48,35,4,1,1,60,103,0,0,500,862
1,1,1,36,40,2,1,1,58,125,0,0,700,700
2,0,2,60,39,2,2,3,45,80,6000,0,1100,1131
1,10,3,60,48,2,1,1,35,161,9000,0,900,1100
1,10,1,48,47,1,1,1,52,168,6000,0,850,1720
2,0,6,60,31,2,1,3,60,0,0,0,1400,1500
1,19,3,36,37,2,1,1,75,170,3500,260,600,940
1,11,2,60,30,1,1,1,35,53,875,325,750,850
1,10,2,60,37,1,2,4,35,0,78000,0,1250,1418
2,4,5,36,27,4,2,1,35,110,0,0,300,550
1,12,2,60,28,2,1,1,45,167,3000,1750,250,1188
1,22,2,36,45,2,1,1,75,250,10000,0,500,1026
1,8,5,24,23,1,1,2,45,110,0,0,900,931
2,1,5,48,19,1,1,1,35,70,0,0,1000,1075
2,1,5,60,22,1,1,3,35,78,3500,0,2275,2300
1,19,1,60,41,2,1,1,88,125,0,0,1450,1564
2,2,1,36,35,1,1,1,47,120,0,0,900,1200
1,3,1,48,36,2,2,1,82,222,0,0,1900,2100
1,25,2,60,63,2,1,3,60,70,10000,0,700,925
1,20,1,24,40,2,1,1,87,117,0,0,350,350
1,13,2,60,32,2,1,1,75,182,5000,2500,1300,1569
1,0,1,60,46,4,1,1,57,124,0,0,940,1149
1,8,2,48,46,2,1,3,75,190,7000,0,800,847
1,14,5,60,33,1,1,1,35,60,0,0,1150,1192
2,5,2,48,26,1,1,1,35,0,10000,5000,1500,2272
1,6,6,12,60,2,1,3,90,700,28000,0,1350,1612
1,3,2,24,51,2,1,3,60,0,26000,300,3000,6900
1,1,5,36,29,1,1,1,35,66,0,0,700,1018
1,20,5,36,45,2,1,3,60,71,5000,0,1000,1390
1,3,2,60,43,2,1,3,45,174,9000,1692,1900,2374
1,25,2,36,58,2,1,1,45,128,30000,0,1500,1750
1,1,2,60,33,2,1,3,75,122,3500,2900,1400,1803
1,10,3,60,40,2,1,1,60,154,1500,0,825,1075
1,4,2,48,36,2,1,1,75,210,4000,0,1800,2628
2,6,1,60,31,2,2,1,86,113,0,0,1150,1736
1,0,2,12,22,1,1,1,35,132,3500,0,300,509
1,0,5,36,22,1,1,2,35,81,2500,0,400,775
2,1,2,48,42,2,2,3,75,200,9000,4500,1400,1700
1,3,5,60,22,1,1,1,35,80,0,0,1000,1500
2,1,2,36,36,2,1,1,45,25,3000,2000,1100,1332
1,3,5,60,39,2,1,1,45,77,0,0,1000,1094
1,3,3,36,37,2,1,3,45,0,4500,0,900,1596
1,12,2,60,34,2,2,1,75,125,5500,4000,950,1462
1,2,5,12,26,1,1,1,35,105,0,0,360,1258
2,6,5,60,38,2,1,3,105,0,0,0,480,1481
1,0,2,36,62,2,1,4,45,73,5000,0,430,1132
2,3,1,24,22,1,1,3,50,148,0,0,700,950
2,1,1,36,23,2,1,3,75,300,0,0,400,700
2,1,3,48,40,2,1,3,45,0,4000,0,750,1720
1,11,2,60,54,2,1,1,45,230,15000,0,1200,1415
1,3,2,60,28,2,2,2,60,122,5000,1000,800,1484
2,5,5,24,26,1,1,1,35,140,0,0,450,900
1,27,2,48,62,2,1,1,60,260,4000,500,800,886
2,14,2,36,33,1,1,3,35,0,4000,1500,700,1700
2,3,2,60,35,2,2,1,60,143,7000,0,2100,3038
1,1,5,60,21,1,2,3,35,73,0,0,800,899
1,3,1,60,41,2,1,4,51,60,0,0,750,818
1,2,1,36,27,1,1,1,70,97,0,0,500,985
1,1,5,36,20,1,1,1,35,61,0,0,800,995
1,20,2,12,48,4,1,3,75,300,18000,0,760,1369
1,3,5,36,26,2,1,3,35,61,18000,0,800,1000
1,2,5,48,20,1,1,1,35,318,99999999,0,740,1325
1,0,5,48,21,1,1,1,35,70,0,0,1250,1365
2,2,3,24,20,1,1,3,35,107,54000,0,2000,2600
2,3,2,36,36,2,1,3,90,82,4000,0,1300,1500
1,3,2,36,42,2,1,1,60,60,6000,0,1200,1500
1,14,6,60,41,2,2,1,75,131,0,0,1200,1200
1,4,6,60,37,2,2,3,60,61,0,0,1420,1450
1,2,6,60,41,4,1,3,35,100,5000,0,1200,1450
1,1,5,60,29,2,1,1,75,105,10000,0,700,1610
2,2,5,60,25,5,1,2,35,90,0,0,900,1111
1,14,1,36,32,2,1,1,87,120,0,0,550,750
1,3,5,60,27,2,1,1,45,140,5000,0,1400,1721
1,10,5,48,26,1,1,1,35,55,12000,0,750,768
1,4,2,60,26,2,1,1,45,140,3500,1500,600,1137
2,1,2,60,52,1,1,1,35,150,6000,0,1580,1756
1,10,2,12,42,2,2,3,35,105,4000,0,380,913
1,6,1,12,33,2,1,1,85,250,0,0,500,1500
1,2,5,6,31,1,1,1,35,70,0,0,850,1403
1,12,2,24,47,2,1,1,60,135,2500,0,550,1061
2,8,1,60,58,2,2,1,60,0,0,0,1400,1996
1,14,2,60,28,2,1,1,35,216,4000,0,1750,2270
1,0,5,18,33,1,1,1,35,112,6000,0,450,1196
1,3,1,36,23,1,1,1,50,150,0,0,1000,1128
2,5,1,36,48,2,1,3,97,365,0,0,1300,1736
1,0,5,36,20,1,1,2,35,120,0,0,1100,1100
1,5,2,6,31,2,1,3,60,150,5000,0,300,1200
1,14,2,60,43,2,1,1,45,103,4000,0,950,1206
2,3,2,48,53,2,1,4,75,60,99999999,99999999,1500,1637
1,0,1,60,57,2,1,4,43,80,0,0,1200,1515
1,7,2,24,40,2,1,1,60,123,5000,0,1000,2348
1,15,1,48,40,2,2,1,88,125,0,0,1100,1498
1,13,1,60,36,2,1,1,84,92,0,0,1200,1271
2,0,2,48,52,2,2,4,90,245,3850,2432,1520,1670
2,3,3,48,28,2,1,1,60,136,3500,2500,1000,1200
1,12,5,60,27,1,1,1,35,150,0,0,1350,1750
1,20,2,60,48,2,1,1,45,178,25000,700,800,1150
1,13,5,48,28,2,1,1,90,105,0,0,1200,1590
1,3,2,36,37,2,1,1,60,55,0,0,1500,2315
1,4,5,36,28,2,1,1,45,100,0,0,1000,2343
2,0,2,60,64,3,1,4,35,100,8000,0,1980,2038
1,5,2,36,39,2,1,1,60,150,10000,0,1350,1758
1,1,1,48,37,2,2,2,72,116,6000,0,1400,1661
1,18,2,60,49,3,1,1,35,117,4000,0,1000,1057
1,4,5,24,33,1,1,1,35,125,0,0,750,1139
1,5,1,48,28,2,2,1,60,154,3000,0,825,1661
1,30,2,36,52,2,1,3,45,33,3000,0,600,1011
2,0,2,60,27,2,1,2,75,210,7000,4800,1250,1315
1,5,3,60,24,2,1,1,45,127,2000,0,1000,1282
1,0,5,36,27,1,1,1,45,200,5000,0,800,1456
2,6,5,60,28,2,1,3,90,325,7000,0,1200,1211
1,5,3,60,23,1,1,1,35,181,2000,0,1400,1643
1,15,2,60,29,2,2,1,60,100,12000,0,500,2038
1,10,1,36,31,2,1,1,90,153,0,0,175,675
1,0,5,60,23,1,1,2,35,205,0,0,1100,1258
1,0,6,42,24,1,1,1,35,42,0,0,800,1450
1,3,2,24,27,2,1,1,45,245,14000,0,500,2070
1,30,2,60,65,2,1,3,45,250,80000,0,1700,2290
1,12,5,36,30,2,1,3,75,110,0,0,800,875
1,13,5,60,32,2,1,1,60,152,0,0,900,1654
1,1,1,36,28,1,1,1,55,196,0,0,1200,1599
1,5,2,60,36,2,2,1,35,205,9000,1500,1050,1168
1,6,6,60,20,2,1,1,45,130,0,0,1250,1404
1,0,2,36,65,2,1,4,45,75,5000,0,400,935
1,1,2,60,42,2,1,1,60,76,5000,0,1000,1299
2,0,1,48,20,1,2,2,56,105,0,0,1100,1289
1,22,2,24,41,2,1,1,90,125,4700,400,250,1035
2,0,1,36,18,1,2,4,38,33,0,0,300,350
1,4,1,60,34,2,1,2,84,85,0,0,800,1293
1,20,2,36,47,2,1,3,60,0,4000,0,800,1701
1,4,1,12,33,2,1,1,78,183,0,0,600,1600
1,0,2,60,25,2,1,2,35,90,1500,500,900,990
1,25,2,36,51,4,1,3,35,200,5000,0,1700,2022
1,10,2,24,39,2,1,1,45,217,9000,3000,1500,2468
2,0,2,48,54,3,1,2,35,67,5000,0,760,860
1,21,6,60,43,1,1,1,35,115,0,0,1000,1338
1,5,3,24,42,2,1,1,60,86,800,0,250,857
1,6,1,24,28,2,1,1,62,166,0,0,500,1150
2,7,3,60,36,2,2,1,60,300,7000,0,2000,2485
1,0,2,36,33,2,1,1,45,265,2500,1100,1400,2189
